sep=;
CNAE;CNAE_numerico;Secao;Secao_descricao;Divisao;Grupo;Classe;Subclasse;Atividade;CBMPE_nivel;CBMPE_descricao;Anexo;Nivel_de_risco;Descricao_do_nivel;Dispensa_licenciamento_previo;Pagina_DOE;Alterado_por_errata
0161-0/99;0161099;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;016;0161-0;99;Atividades de apoio à agricultura não especificadas anteriormente;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0162-8/01;0162801;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;016;0162-8;01;Serviço de inseminação artificial de animais *;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0162-8/02;0162802;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;016;0162-8;02;Serviço de tosquiamento de ovinos;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0162-8/03;0162803;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;016;0162-8;03;Serviço de manejo de animais;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0162-8/99;0162899;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;016;0162-8;99;Atividades de apoio à pecuária não especificadas anteriormente;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0163-6/00;0163600;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;016;0163-6;00;Atividades de pós-colheita;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0170-9/00;0170900;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;017;0170-9;00;Caça e serviços relacionados;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0210-1/01;0210101;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;021;0210-1;01;Cultivo de eucalipto;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0210-1/02;0210102;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;021;0210-1;02;Cultivo de acácia-negra;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0210-1/03;0210103;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;021;0210-1;03;Cultivo de pinus;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0210-1/04;0210104;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;021;0210-1;04;Cultivo de teca;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0210-1/05;0210105;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;021;0210-1;05;Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0210-1/06;0210106;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;021;0210-1;06;Cultivo de mudas em viveiros florestais;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0210-1/07;0210107;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;021;0210-1;07;Extração de madeira em florestas plantadas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0210-1/08;0210108;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;021;0210-1;08;Produção de carvão vegetal - florestas plantadas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0210-1/09;0210109;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;021;0210-1;09;Produção de casca de acácia-negra -florestas plantadas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0210-1/99;0210199;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;021;0210-1;99;Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0220-9/01;0220901;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;022;0220-9;01;Extração de madeira em florestas nativas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0220-9/02;0220902;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;022;0220-9;02;Produção de carvão vegetal - florestas nativas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0220-9/03;0220903;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;022;0220-9;03;Coleta de castanha-do-pará em florestas nativas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0220-9/04;0220904;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;022;0220-9;04;Coleta de látex em florestas nativas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0220-9/05;0220905;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;022;0220-9;05;Coleta de palmito em florestas nativas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0220-9/06;0220906;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;022;0220-9;06;Conservação de florestas nativas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0220-9/99;0220999;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;022;0220-9;99;Coleta de produtos não-madeireiros não;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;14;Não
0230-6/00;0230600;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;02;023;0230-6;00;Atividades de apoio à produção florestal;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;15;Não
